stereotype1,stereotype2,geometric_mean_correlation
category,collective,0.03708115839879692
category,datatype,0.09830118898588996
category,event,0.18746232030647567
category,kind,0.07813377664353553
category,mode,0.29646003254813436
category,phase,0.0488120148031569
category,quality,0.28251658723916273
category,relator,0.09558706143745721
category,role,0.09742706561638209
category,roleMixin,0.22517530403295496
category,situation,0.21729826531156243
category,subkind,0.17634631280917717
category,type,0.23251523186166637
collective,datatype,0.04201146466976073
collective,event,0.19003197812612752
collective,kind,0.18920135460739554
collective,mode,0.01883398584652858
collective,phase,0.2253306349455477
collective,quality,0.1583639925353684
collective,relator,0.1963130244916734
collective,role,0.15822451635104332
collective,roleMixin,0.10724509012049392
collective,situation,0.28090675809352766
collective,subkind,0.14880347580029638
collective,type,0.015326858870884703
datatype,event,0.05432498911703657
datatype,kind,0.09396777677756946
datatype,mode,0.003015365106461853
datatype,phase,0.12011646257043485
datatype,quality,0.17961982680090294
datatype,relator,0.0843287003967142
datatype,role,0.09872844493416108
datatype,roleMixin,0.10266357829246694
datatype,situation,0.14329130332726664
datatype,subkind,0.029903023016768657
datatype,type,0.0918903428566118
event,kind,0.3104473696409234
event,mode,0.2348671479512513
event,phase,0.05154019875694543
event,quality,0.2110177557896967
event,relator,0.21067281114754718
event,role,0.24336169899738158
event,roleMixin,0.27195117520032536
event,situation,0.5725088785784483
event,subkind,0.05750786238949961
event,type,0.33634205016941826
kind,mode,0.03667589792506489
kind,phase,0.23229161443583107
kind,quality,0.03152358777932224
kind,relator,0.20470784133365763
kind,role,0.33436644598545273
kind,roleMixin,0.20954007731234553
kind,situation,0.24490211145584304
kind,subkind,0.42263000460773964
kind,type,0.24382919096221728
mode,phase,0.024246383291598762
mode,quality,0.21306519809638652
mode,relator,0.02632939847700616
mode,role,0.046573802204618375
mode,roleMixin,0.18531678926168613
mode,situation,0.009010498132540852
mode,subkind,0.00508130571050531
mode,type,0.226534705928637
phase,quality,0.08110630947234267
phase,relator,0.13429034457763256
phase,role,0.2580394154394036
phase,roleMixin,0.06651471323280242
phase,situation,0.08453724674199628
phase,subkind,0.2908216465141094
phase,type,0.009236115280700516
quality,relator,0.07432661330197875
quality,role,0.059720360148604004
quality,roleMixin,0.0838332376037632
quality,situation,0.2726394966632723
quality,subkind,0.1551490048649039
quality,type,0.26651374309411846
relator,role,0.3272130211232261
relator,roleMixin,0.12093547922079739
relator,situation,0.17710267154074338
relator,subkind,0.17812053159190094
relator,type,0.014239516214889022
role,roleMixin,0.01255710527674652
role,situation,0.23401919123352033
role,subkind,0.07795192206139889
role,type,0.1435860171193351
roleMixin,situation,0.14868555472777809
roleMixin,subkind,0.045400384164869176
roleMixin,type,0.280165994843546
situation,subkind,0.10230847362807184
situation,type,0.14882396320702332
subkind,type,0.04951156630622722
